Entity,Year,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
Algeria,1965,0.00293076,0.0267498,0,0.4,0,0,0,0.055458907
Algeria,1966,0.002847024,0.0277893,0,0.355,0,0,0,0.072981739
Algeria,1967,0.002177136,0.0269577,0,0.41,0,0,0,0.068191312
Algeria,1968,0.00230274,0.0283437,0,0.563,0,0,0,0.072602285
Algeria,1969,0.00293076,0.037266075,0,0.361,0,0,0,0.076701348
Algeria,1970,0.003475044,0.03503115,0,0.58,0,0,0,0.087651651
Algeria,1971,0.000962964,0.0397782,0,0.33,0,0,0,0.098784181
Algeria,1972,0.00083736,0.04618845,0,0.495,0,0,0,0.108437091
Algeria,1973,0.000962964,0.064293075,0,0.752,0,0,0,0.118441242
Algeria,1974,0.000795492,0.0744282,0,0.497,0,0,0,0.131557827
Algeria,1975,0.001004832,0.102564,0,0.328,0,0,0,0.146270403
Algeria,1976,0.001967796,0.121275,0,0.389,0,0,0,0.168183837
Algeria,1977,0.002553948,0.1292445,0,0.269,0,0,0,0.190103377
Algeria,1978,0.001297908,0.2075535,0,0.25,0,0,0,0.196588601
Algeria,1979,0.003014496,0.2934855,0,0.291,0,0,0,0.235147022
Algeria,1980,0.002679552,0.3939705,0,0.257,0,0,0,0.238328748
Algeria,1981,0.00188406,0.512127,0,0.366,0,0,0,0.256763062
Algeria,1982,0.03495978,0.5810805,0,0.479,0,0,0,0.272064304
Algeria,1983,0.03119166,0.636174,0,0.235,0,0,0,0.305612716
Algeria,1984,0.034582968,0.5589045,0,0.452,0,0,0,0.338407223
Algeria,1985,0.036090216,0.553707,0,0.646,0,0,0,0.347593691
Algeria,1986,0.03705318,0.606375,0,0.25,0,0,0,0.352876515
Algeria,1987,0.044296344,0.620235,0,0.499,0,0,0,0.356761886
Algeria,1988,0.04165866,0.6988905,0,0.183,0,0,0,0.357021355
Algeria,1989,0.035210988,0.657657,0,0.226,0,0,0,0.37417198
Algeria,1990,0.027591012,0.7023555,0,0.135,0,0,0,0.402521817
Algeria,1991,0.02847024,0.693693,0,0.293,0,0,0,0.39826003
Algeria,1992,0.033829344,0.7162155,0,0.199,0,0,0,0.40065356
Algeria,1993,0.027549144,0.6427575,0,0.353,0,0,0,0.398717556
Algeria,1994,0.02595816,0.6774075,0,0.166,0,0,0,0.381783225
Algeria,1995,0.02595816,0.7279965,0,0.193,0,0,0,0.371312218
Algeria,1996,0.012225456,0.747747,0,0.135,0,0,0,0.354319487
Algeria,1997,0.021436416,0.698544,0,0.075,0,0,0,0.35151631
Algeria,1998,0.022943664,0.7224525,0,0.215,0,0,0,0.362371493
Algeria,1999,0.024576516,0.7383915,0,0.203,0,0,0,0.356034045
Algeria,2000,0.02030598,0.687646575,0,0.054,0,0,0,0.371276927
Algeria,2001,0.02344608,0.71035965,0,0.069,0,0,0,0.384391202
Algeria,2002,0.03077298,0.70141995,0,0.057,0,0,0,0.426230027
Algeria,2003,0.025372008,0.741354075,0,0.265,0,0,0,0.443426825
Algeria,2004,0.030270564,0.762837075,0,0.251,0,0,0,0.463488589
Algeria,2005,0.024869592,0.80481555,0,0.5553,0,0,0,0.483168186
Algeria,2006,0.036927576,0.822591,0,0.2176,0,0,0,0.503444595
Algeria,2007,0.031694076,0.841704532,0,0.226,0,0,0,0.563003987
Algeria,2008,0.031694076,0.87855075,0,0.283,0,0,0,0.611697227
Algeria,2009,0.020347848,0.94362345,0,0.342,0,0,0,0.648483946
Algeria,2010,0.01297908,0.9117801,0,0.173,0,0.0091,0,0.648175878
Algeria,2011,0.0115137,0.96469065,0,0.378,0,0.01811875,0,0.692019551
Algeria,2012,0.012225456,1.0754667,0,0.389,0,0.026723014,0,0.735822964
Algeria,2013,0.006615144,1.15637445,0,0.099,0,0.0286,0,0.768874986
Algeria,2014,0.007494372,1.2993057,0,0.193,0,0.06,0.001,0.79893055
Algeria,2015,0.005568444,1.36521,0,0.145,0,0.058,0.019,0.85013454
Algeria,2016,0.002051532,1.389465,0,0.072,0,0.245,0.019052055,0.825987742
Algeria,2017,0.007619976,1.42065,0,0.056,0,0.504,0.019,0.811160336
Algeria,2018,0.020934,1.562715,0,0.117,0,0.603,0.01,0.829273636
Algeria,2019,0.020934,1.62855,0,0.1515,0,0.615,0.01,0.881737121
Argentina,1965,0.030438177,0.1484424,0,1.225,0,0,0,0.936501458
Argentina,1966,0.025098546,0.16076592,0,1.241,0,0,0,0.966833287
Argentina,1967,0.028225429,0.16811802,0,1.271,0,0,0,0.990671855
Argentina,1968,0.027428527,0.18719847,0,1.498,0,0,0,1.011626918
Argentina,1969,0.032839812,0.18649827,0,1.344,0,0,0,1.051134314
Argentina,1970,0.042201354,0.2107602,0.047540991,1.555,0,0,0,0.943775287
Argentina,1971,0.036999151,0.22752999,0.049864614,1.544,0,0,0,1.007910396
Argentina,1972,0.031144662,0.25532793,0.064353152,1.504,0,0,0,1.009286106
Argentina,1973,0.034187479,0.29054799,0.049042434,2.994,0,0,0,1.012744459
Argentina,1974,0.042573319,0.30752784,0.050067671,5.028,1.036,0,0,1.016294291
Argentina,1975,0.041439385,0.31509,0.054922642,5.201,2.517,0,0,0.95738496
Argentina,1976,0.041913307,0.3546513,0.050202792,5.013,2.572,0,0,0.994542131
Argentina,1977,0.039630611,0.3704058,0.053855108,5.766,1.637,0,0,1.048462724
Argentina,1978,0.048309103,0.3602529,0.054136662,7.752,2.896,0,0,1.048424516
