Entity,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
Africa,4.472387315,5.404600526,8.184247278,132.7347905,14.214193,19.37797783,17.5080525,8.278639845
Algeria,0.020934,1.62855,0,0.1515,0,0.615,0.01,0.881737121
Argentina,0.022851728,1.709661422,2.397314002,37.06678708,8.441898,0.799697913,4.995966424,1.18557999
Asia Pacific,122.218429,31.31727197,238.0228726,1783.656628,647.3322035,393.9218413,514.2596164,71.53934267
Australia,1.783109994,1.934650224,3.575939232,14.29387513,0,17.95071448,19.52446188,2.142717008
Austria,0.125841471,0.320415877,4.786632515,40.73184267,0,1.351575863,7.435472714,0.548101923
Azerbaijan,5.16E-05,0.424412483,0.0811,1.5646,0,0.0438,0.134644344,0.214999111
Bangladesh,0.14433032,1.236814874,0.007738,0.823091189,0,0.420637641,0.005081,0.365837035
Belarus,0.039486012,0.693485407,0.113912676,0.324,0,0.119758911,0.106344214,0.317922106
Belgium,0.127520406,0.625806,5.127103869,0.296374641,43.75696139,3.946641248,9.532237328,1.381121947
Brazil,0.656076918,1.289141921,56.25436624,399.2971157,16.16483179,5.56271064,55.83320041,4.73052402
Bulgaria,0.208555073,0.1019115,1.154,3.421746935,16.5692799,1.830705716,1.307188344,0.212985671
CIS,5.529885472,20.65414779,0.740209276,248.359432,211.18347,1.471196788,1.077797244,8.372364254
Canada,0.558632507,4.331248844,10.8089903,381.9769464,100.4858655,4.314705051,34.1721163,4.499920662
Central America,0.096610794,0.017254076,10.42436856,22.63960862,0,1.860138633,4.450899653,0.952089964
Chile,0.284528777,0.233328331,9.992203784,20.85275304,0,6.300226399,5.300192711,0.759591945
China,81.67479649,11.06401011,102.8296824,1269.674174,348.7,223.8,405.7,27.90604803
Colombia,0.257706281,0.484071972,2.047530833,51.54243493,0,0.123066515,0.059536836,0.701667447
Croatia,0.018066083,0.106006995,0.856003809,5.84119546,0,0.078407231,1.43965027,0.141546858
Cyprus,0.000699655,0,0.059935,0,0,0.215649,0.238136,0.110892146
Czech Republic,0.604116515,0.2996982,4.9248,2.0071,30.2462,2.2819,0.7,0.42900755
Denmark,0.038858209,0.105098207,6.44785747,0.01693663,0,0.963268234,16.1498308,0.332870746
Eastern Africa,0.183086839,0.081523739,7.170132608,68.85537134,0,6.96366484,2.370659427,1.327771574
Ecuador,0,0.022753833,0.454723448,24.66426354,0,0.16645228,0.085526937,0.494373171
Egypt,0.083138728,2.122029551,0,13.39085,0,3.677013204,2.791673664,1.503893022
Estonia,0.140946582,0.015489413,1.187893985,0.015980028,0,0.072060935,0.677553182,0.064104101
Europe,11.3467701,19.94882509,220.335262,632.5383017,928.4674725,154.6634587,461.5876104,30.40247034
