,Entity,Year,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
0,Africa,1965,1,0,0,13,0,0,0,1
1,Africa,1966,1,0,0,15,0,0,0,1
2,Africa,1967,1,0,0,16,0,0,0,1
3,Africa,1968,1,0,0,18,0,0,0,1
4,Africa,1969,1,0,0,22,0,0,0,1
5,Africa,1970,1,0,0,27,0,0,0,1
6,Africa,1971,1,0,0,26,0,0,0,1
7,Africa,1972,1,0,0,29,0,0,0,1
8,Africa,1973,1,0,0,31,0,0,0,1
9,Africa,1974,1,0,0,35,0,0,0,2
10,Africa,1975,1,0,0,37,0,0,0,2
11,Africa,1976,1,0,0,41,0,0,0,2
12,Africa,1977,1,0,0,45,0,0,0,2
13,Africa,1978,1,0,0,46,0,0,0,2
14,Africa,1979,1,0,0,49,0,0,0,2
15,Africa,1980,1,0,0,48,0,0,0,2
16,Africa,1981,2,0,0,50,0,0,0,3
17,Africa,1982,2,0,0,50,0,0,0,3
18,Africa,1983,2,0,0,45,0,0,0,3
19,Africa,1984,2,0,0,44,3,0,0,3
20,Africa,1985,2,1,0,49,5,0,0,3
21,Africa,1986,2,1,0,51,8,0,0,3
22,Africa,1987,2,1,0,49,6,0,0,3
23,Africa,1988,3,1,0,53,10,0,0,3
24,Africa,1989,3,1,0,56,11,0,0,4
25,Africa,1990,3,1,0,57,8,0,0,4
26,Africa,1991,3,1,0,60,9,0,0,4
27,Africa,1992,3,1,0,57,9,0,0,4
28,Africa,1993,3,1,0,56,7,0,0,4
29,Africa,1994,3,1,0,57,9,0,0,4
30,Africa,1995,3,1,1,59,11,0,0,4
31,Africa,1996,3,1,1,62,11,0,0,4
32,Africa,1997,3,1,1,63,12,0,0,4
33,Africa,1998,3,1,1,66,13,0,0,4
34,Africa,1999,3,1,1,70,12,0,0,5
35,Africa,2000,3,2,2,75,13,0,0,5
36,Africa,2001,3,2,2,80,10,0,0,5
37,Africa,2002,3,2,2,85,11,0,0,5
38,Africa,2003,3,2,2,82,12,0,0,5
39,Africa,2004,4,2,2,87,13,0,0,5
40,Africa,2005,3,2,3,89,11,0,0,5
41,Africa,2006,3,3,3,92,10,0,0,6
42,Africa,2007,3,3,3,95,11,0,1,6
43,Africa,2008,4,3,3,97,13,0,1,6
44,Africa,2009,4,3,3,99,12,0,1,6
