,Entity,Year,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
0,Africa,1965,1.16,0.03,0.00,13.91,0.00,0.00,0.00,1.17
1,Africa,1966,1.16,0.04,0.00,15.51,0.00,0.00,0.00,1.28
2,Africa,1967,1.19,0.04,0.00,16.19,0.00,0.00,0.00,1.27
3,Africa,1968,1.24,0.04,0.00,18.94,0.00,0.00,0.00,1.34
4,Africa,1969,1.25,0.04,0.00,22.10,0.00,0.00,0.00,1.36
5,Africa,1970,1.30,0.06,0.00,27.63,0.00,0.00,0.00,1.51
6,Africa,1971,1.38,0.07,0.16,26.01,0.00,0.00,0.00,1.70
7,Africa,1972,1.38,0.09,0.17,29.63,0.00,0.00,0.00,1.85
8,Africa,1973,1.47,0.14,0.17,31.35,0.00,0.00,0.00,1.99
9,Africa,1974,1.53,0.16,0.18,35.67,0.00,0.00,0.00,2.05
10,Africa,1975,1.62,0.19,0.17,37.72,0.00,0.00,0.00,2.15
11,Africa,1976,1.73,0.22,0.19,41.80,0.00,0.00,0.00,2.38
12,Africa,1977,1.77,0.25,0.19,45.93,0.00,0.00,0.00,2.52
13,Africa,1978,1.72,0.35,0.20,46.31,0.00,0.00,0.00,2.66
14,Africa,1979,1.83,0.54,0.20,49.57,0.00,0.00,0.00,2.83
15,Africa,1980,1.96,0.67,0.21,48.31,0.00,0.00,0.00,3.00
16,Africa,1981,2.29,0.82,0.22,50.19,0.00,0.00,0.00,3.19
17,Africa,1982,2.52,0.89,0.24,50.21,0.00,0.00,0.00,3.35
18,Africa,1983,2.57,0.98,0.23,45.25,0.00,0.00,0.00,3.46
19,Africa,1984,2.75,0.94,0.23,44.49,3.93,0.00,0.00,3.54
20,Africa,1985,2.83,1.00,0.27,49.45,5.32,0.00,0.00,3.62
21,Africa,1986,2.90,1.13,0.66,51.15,8.80,0.00,0.00,3.56
22,Africa,1987,2.98,1.16,0.66,49.06,6.17,0.00,0.00,3.74
23,Africa,1988,3.20,1.29,0.63,53.59,10.49,0.00,0.00,3.92
24,Africa,1989,3.01,1.34,0.62,56.28,11.10,0.00,0.00,4.06
25,Africa,1990,3.16,1.44,0.77,57.25,8.45,0.00,0.00,4.13
26,Africa,1991,3.07,1.45,0.79,60.65,9.14,0.00,0.00,4.16
27,Africa,1992,3.09,1.52,0.82,57.86,9.29,0.00,0.00,4.25
28,Africa,1993,3.14,1.49,0.92,56.68,7.26,0.00,0.00,4.30
29,Africa,1994,3.22,1.55,0.82,57.60,9.70,0.00,0.01,4.40
30,Africa,1995,3.32,1.66,1.02,59.77,11.30,0.00,0.01,4.55
31,Africa,1996,3.36,1.74,1.26,62.32,11.78,0.00,0.01,4.67
32,Africa,1997,3.45,1.71,1.39,63.85,12.65,0.00,0.01,4.79
33,Africa,1998,3.37,1.80,1.71,66.65,13.60,0.00,0.01,4.91
34,Africa,1999,3.48,1.81,1.70,70.68,12.84,0.00,0.02,5.09
35,Africa,2000,3.47,2.00,2.27,75.25,13.01,0.01,0.18,5.11
36,Africa,2001,3.51,2.31,2.34,80.86,10.72,0.02,0.42,5.18
37,Africa,2002,3.36,2.45,2.29,85.18,11.99,0.02,0.44,5.27
38,Africa,2003,3.66,2.61,2.62,82.87,12.66,0.02,0.54,5.42
39,Africa,2004,4.03,2.84,2.98,87.41,13.37,0.03,0.77,5.67
40,Africa,2005,3.74,2.94,3.01,89.07,11.29,0.03,0.78,5.96
41,Africa,2006,3.79,3.07,3.78,92.24,10.03,0.04,0.85,6.00
42,Africa,2007,3.85,3.27,3.15,95.34,11.32,0.05,1.02,6.20
43,Africa,2008,4.25,3.41,3.27,97.16,13.00,0.08,1.31,6.55
44,Africa,2009,4.23,3.44,3.56,99.76,12.81,0.10,1.59,6.79
45,Africa,2010,4.19,3.56,3.83,107.43,13.53,0.21,2.28,7.13
46,Africa,2011,4.12,3.86,3.93,110.44,12.90,0.45,2.54,6.93
47,Africa,2012,4.02,4.14,4.09,110.95,12.97,0.55,2.96,7.31
48,Africa,2013,4.07,4.20,4.44,117.67,14.11,0.82,3.56,7.57
49,Africa,2014,4.26,4.32,5.55,123.73,13.79,1.83,5.16,7.70
50,Africa,2015,4.03,4.62,7.14,119.86,12.24,3.60,8.89,7.87
51,Africa,2016,4.27,4.75,7.21,115.80,15.91,4.94,11.31,7.95
52,Africa,2017,4.26,5.04,7.57,123.82,15.76,6.98,12.46,7.99
53,Africa,2018,4.41,5.36,8.06,130.39,11.09,9.85,14.29,8.07
54,Africa,2019,4.47,5.40,8.18,132.73,14.21,19.38,17.51,8.28
55,Algeria,1965,0.00,0.03,0.00,0.40,0.00,0.00,0.00,0.06
56,Algeria,1966,0.00,0.03,0.00,0.36,0.00,0.00,0.00,0.07
57,Algeria,1967,0.00,0.03,0.00,0.41,0.00,0.00,0.00,0.07
58,Algeria,1968,0.00,0.03,0.00,0.56,0.00,0.00,0.00,0.07
59,Algeria,1969,0.00,0.04,0.00,0.36,0.00,0.00,0.00,0.08
60,Algeria,1970,0.00,0.04,0.00,0.58,0.00,0.00,0.00,0.09
61,Algeria,1971,0.00,0.04,0.00,0.33,0.00,0.00,0.00,0.10
62,Algeria,1972,0.00,0.05,0.00,0.50,0.00,0.00,0.00,0.11
63,Algeria,1973,0.00,0.06,0.00,0.75,0.00,0.00,0.00,0.12
64,Algeria,1974,0.00,0.07,0.00,0.50,0.00,0.00,0.00,0.13
65,Algeria,1975,0.00,0.10,0.00,0.33,0.00,0.00,0.00,0.15
66,Algeria,1976,0.00,0.12,0.00,0.39,0.00,0.00,0.00,0.17
