Year,Coal Consumption - EJ
1/1/1965,11.60727883
1/1/1966,12.17104624
1/1/1967,11.94118808
1/1/1968,12.35907529
1/1/1969,12.41005543
1/1/1970,12.29277394
1/1/1971,11.62512284
1/1/1972,12.10473086
1/1/1973,13.00136412
1/1/1974,12.69204137
1/1/1975,12.69194916
1/1/1976,13.61535192
1/1/1977,13.95416644
1/1/1978,13.79727795
1/1/1979,15.07422307
1/1/1980,15.45832865
1/1/1981,15.94416199
1/1/1982,15.35686752
1/1/1983,15.93104785
1/1/1984,17.10993667
1/1/1985,17.51868187
1/1/1986,17.30015675
1/1/1987,18.04992554
1/1/1988,18.88971619
1/1/1989,19.11368081
1/1/1990,19.21679073
1/1/1991,19.03540896
1/1/1992,19.1665112
1/1/1993,19.88082954
1/1/1994,19.95531569
1/1/1995,20.13499254
1/1/1996,21.05028267
1/1/1997,21.49480107
1/1/1998,21.70561848
1/1/1999,21.67234202
1/1/2000,22.63153001
1/1/2001,21.96473787
1/1/2002,21.9544352
1/1/2003,22.37233444
1/1/2004,22.51793599
1/1/2005,22.84904481
1/1/2006,22.49885716
1/1/2007,22.80185938
1/1/2008,22.43899661
1/1/2009,19.73655503
1/1/2010,20.88194988
1/1/2011,19.70305706
1/1/2012,17.41825712
1/1/2013,18.08017705
1/1/2014,18.03908163
1/1/2015,15.58467998
1/1/2016,14.25866811
1/1/2017,13.86933351
1/1/2018,13.28205107
1/1/2019,11.34064317
